"99Entrega","99Entrega"
"99Entrega Pickup Locations","Locais de Coleta 99Entrega"
"Pickup Locations (99Entrega)","Locais de Coleta (99Entrega)"
"Pickup Location","Local de Coleta"
"Add Pickup Location","Adicionar Local de Coleta"
"Edit Pickup Location","Editar Local de Coleta"
"New Pickup Location","Novo Local de Coleta"
"Stores","Lojas"
"Pickup Locations","Locais de Coleta"

"Enabled","Ativo"
"Title","Título"
"Description (method title shown to customer)","Descrição (nome do método exibido ao cliente)"
"Sort Order","Ordem"
"Environment","Ambiente"
"Sandbox / Test","Sandbox / Teste"
"Production","Produção"
"Use the credentials matching the selected environment in the 99Entrega portal (Modo de desenvolvedor).","Use as credenciais correspondentes ao ambiente selecionado no portal da 99Entrega (Modo de desenvolvedor)."

"API Credentials","Credenciais da API"
"Client ID","ID do Cliente"
"Client Secret","Segredo do Cliente"
"API Base URL","URL Base da API"
"Default: https://entrega.99app.com/entrega-openplatform","Padrão: https://entrega.99app.com/entrega-openplatform"
"Default: https://entrega.99app.com/entrega-openplatform — only change if instructed by 99 support.","Padrão: https://entrega.99app.com/entrega-openplatform — só altere se instruído pelo suporte da 99."

"Enables 99Entrega as a shipping option in the checkout.","Habilita 99Entrega como opção de frete no checkout."
"Group title shown to the customer at checkout (e.g. ""99Entrega"").","Título do grupo exibido ao cliente no checkout (ex: ""99Entrega"")."
"Method title shown next to the price in the checkout (e.g. ""Entrega via moto - ~30 min"").","Nome do método exibido ao lado do preço no checkout (ex: ""Entrega via moto - ~30 min"")."
"Display order relative to other shipping methods. Lower values appear first.","Ordem de exibição em relação aos outros métodos de frete. Valores menores aparecem primeiro."
"OAuth Client ID obtained from the 99Entrega portal (Modo de desenvolvedor). Use the credentials matching the selected Environment.","ID do Cliente OAuth obtido no portal 99Entrega (Modo de desenvolvedor). Use as credenciais correspondentes ao Ambiente selecionado."
"OAuth Client Secret obtained from the 99Entrega portal. Stored encrypted in the database.","Segredo do Cliente OAuth obtido no portal 99Entrega. Armazenado criptografado no banco."
"OAuth scope requested for the access token. Keep the default (entrega.order) unless instructed otherwise.","Escopo OAuth solicitado para o token de acesso. Mantenha o padrão (entrega.order) salvo se instruído ao contrário."
"Vehicle category requested for the delivery. Affects coverage and price (motorcycle is cheaper but limited to small packages).","Categoria de veículo solicitada para a entrega. Afeta cobertura e preço (moto é mais barato mas limitado a pacotes pequenos)."
"If enabled, the driver must enter a 4-digit code at the store to receive the package. Adds an extra verification step at pickup.","Se habilitado, o motoboy precisa digitar um código de 4 dígitos na loja para receber o pacote. Adiciona uma etapa extra de verificação na coleta."
"If enabled, the customer must show a 4-digit code at delivery for the driver to release the package. Adds an extra verification step at dropoff.","Se habilitado, o cliente precisa apresentar um código de 4 dígitos na entrega para o motoboy liberar o pacote. Adiciona uma etapa extra de verificação na entrega."
"How the return is confirmed when the delivery fails and the package goes back to the store: None / Photo / Code.","Como a devolução é confirmada quando a entrega falha e o pacote retorna à loja: Nenhum / Foto / Código."
"When the cart qualifies for free shipping (cart rules etc.), display the 99Entrega method with R$ 0,00 to the customer. The actual fee is still charged to the store.","Quando o carrinho qualifica para frete grátis (regras de carrinho etc.), exibe o método 99Entrega com R$ 0,00 para o cliente. A tarifa real continua sendo cobrada da loja."
"API key from Google Cloud Console with the Geocoding API enabled. Has a free tier (~10k requests/month) before billing applies.","Chave de API do Google Cloud Console com a Geocoding API habilitada. Tem cota grátis (~10k requisições/mês) antes de cobrar."
"OAuth Scope","Escopo OAuth"

"Webhook","Webhook"
"Webhook URL","URL do Webhook"
"Use this URL on the 99Entrega portal webhook configuration. Read-only.","Use esta URL na configuração de webhook do portal 99Entrega. Somente leitura."
"Signing Key (Chave de assinatura)","Chave de Assinatura"
"Same value as ""Chave de assinatura"" in the 99Entrega portal. Used to validate X-Webhook-Signature.","Mesmo valor da ""Chave de assinatura"" no portal 99Entrega. Usado para validar o header X-Webhook-Signature."

"Delivery Options","Opções de Entrega"
"Vehicle Type","Tipo de Veículo"
"Motorcycle (entrega_moto)","Moto (entrega_moto)"
"Car (entrega_car)","Carro (entrega_car)"
"Require Pickup Code","Exigir Código de Coleta"
"Require Dropoff Code","Exigir Código de Entrega"
"Return Handover Method","Método de Devolução"
"None","Nenhum"
"Photo","Foto"
"Code","Código"
"Auto-create shipment","Criar Entrega Automaticamente"
"If enabled, calls /order/create automatically when order is placed. If disabled, must be triggered manually from the order view.","Se habilitado, chama /order/create automaticamente quando o pedido é finalizado. Se desabilitado, precisa ser acionado manualmente na tela do pedido."
"Honor Free Shipping","Respeitar Frete Grátis"
"Promise time (minutes)","Tempo de Preparação (minutos)"
"Padding minutes added to the estimated delivery time shown in checkout.","Minutos adicionais somados ao tempo estimado de entrega exibido no checkout."

"Geocoder","Geocodificador"
"Provider","Provedor"
"99Entrega requires latitude/longitude. Nominatim (OSM) is free but rate-limited. Google Maps is paid but more reliable.","99Entrega exige latitude/longitude. Nominatim (OSM) é grátis mas tem limite de uso. Google Maps é pago mas mais confiável."
"Nominatim (OpenStreetMap, free)","Nominatim (OpenStreetMap, grátis)"
"Google Maps Geocoding (paid)","Google Maps Geocoding (pago)"
"Google Maps API Key","Chave da API Google Maps"
"Nominatim User-Agent","User-Agent do Nominatim"
"Required by Nominatim usage policy. Include your contact info if possible.","Exigido pela política de uso do Nominatim. Inclua um email de contato se possível."

"Advanced","Avançado"
"Debug Log","Log de Depuração"
"When enabled, writes verbose API/webhook traces to var/log/entrega99.log.","Quando ativo, grava logs detalhados de API/webhook em var/log/entrega99.log."

"General","Geral"
"Name","Nome"
"Active","Ativo"
"Store View","Visão da Loja"
"All Stores","Todas as Lojas"
"Single store per waypoint. Choose ""All Stores"" if this pickup serves every store view. To cover multiple specific stores, create one waypoint per store.","Uma loja por local de coleta. Escolha ""Todas as Lojas"" se este local atende todas as visões de loja. Para múltiplas lojas específicas, crie um local por loja."
"MSI Source Code (optional)","Código da Fonte MSI (opcional)"
"Single source code. Leave empty if not using Magento Inventory multi-source. For multiple sources, create one waypoint per source.","Um único código de fonte. Deixe vazio se não usa Magento Inventory multi-source. Para múltiplas fontes, crie um local por fonte."
"Contact Name","Nome do Contato"
"Name of the person who hands the package to the driver.","Nome da pessoa que entrega o pacote ao motoboy."
"Telephone","Telefone"
"Any format accepted: (11) 99999-9999, 11999999999, or +5511999999999. Will be normalized to +55XXXXXXXXXXX automatically.","Qualquer formato aceito: (11) 99999-9999, 11999999999, ou +5511999999999. Será normalizado automaticamente para +55XXXXXXXXXXX."
"Email","E-mail"

"Address","Endereço"
"Street","Rua"
"Number","Número"
"Complement","Complemento"
"Neighborhood","Bairro"
"City","Cidade"
"State (UF)","Estado (UF)"
"Postcode (CEP)","CEP"
"8 digits, with or without dash. e.g. 80540-000 or 80540000.","8 dígitos, com ou sem traço. Ex: 80540-000 ou 80540000."
"Country (ISO code)","País (código ISO)"
"Latitude","Latitude"
"Required. Decimal value (e.g. -25.4284167). In Brazil always negative. Tip: in Google Maps, right-click the exact spot → click the coordinates that appear at the top of the menu to copy both.","Obrigatório. Valor decimal (ex: -25.4284167). No Brasil sempre negativo. Dica: no Google Maps, clique com o botão direito no ponto exato → clique nas coordenadas que aparecem no topo do menu para copiar."
"Longitude","Longitude"
"Required. Decimal value (e.g. -49.2733056). In Brazil always negative.","Obrigatório. Valor decimal (ex: -49.2733056). No Brasil sempre negativo."
"Pickup Instructions","Instruções de Coleta"
"Notes shown to the driver at pickup.","Observações exibidas ao motoboy no momento da coleta."

"Operating Hours","Horário de Funcionamento"
"— (closed)","— (fechado)"
"Monday — open","Segunda — abre"
"Monday — close","Segunda — fecha"
"Tuesday — open","Terça — abre"
"Tuesday — close","Terça — fecha"
"Wednesday — open","Quarta — abre"
"Wednesday — close","Quarta — fecha"
"Thursday — open","Quinta — abre"
"Thursday — close","Quinta — fecha"
"Friday — open","Sexta — abre"
"Friday — close","Sexta — fecha"
"Saturday — open","Sábado — abre"
"Saturday — close","Sábado — fecha"
"Sunday — open","Domingo — abre"
"Sunday — close","Domingo — fecha"

"ID","ID"
"Edit","Editar"
"Delete","Excluir"
"Save","Salvar"
"Back","Voltar"
"Are you sure you want to delete this pickup location?","Tem certeza que deseja excluir este local de coleta?"
"Delete %1","Excluir %1"
"State (UF)","Estado (UF)"
"Postcode","CEP"
"MSI Source","Fonte MSI"
"Store View ID","ID da Visão da Loja"
